DATE,CLVMNACNSAB1GQCH
1980-01-01,88238.3
1980-04-01,90497.5
1980-07-01,91274.8
1980-10-01,91754.0
1981-01-01,89790.3
1981-04-01,92146.5
1981-07-01,92820.1
1981-10-01,92800.7
1982-01-01,90647.9
1982-04-01,90784.9
1982-07-01,90696.6
1982-10-01,90615.4
1983-01-01,89253.4
1983-04-01,91190.4
1983-07-01,91934.6
1983-10-01,92684.6
1984-01-01,91540.5
1984-04-01,93409.1
1984-07-01,94927.9
1984-10-01,96168.2
1985-01-01,95144.3
1985-04-01,97494.3
1985-07-01,98102.8
1985-10-01,99118.7
1986-01-01,97221.4
1986-04-01,99829.6
1986-07-01,100028.8
1986-10-01,100026.4
1987-01-01,98236.9
1987-04-01,100449.1
1987-07-01,101893.9
1987-10-01,102822.3
1988-01-01,101663.4
1988-04-01,103415.6
1988-07-01,105115.7
1988-10-01,106429.4
1989-01-01,105645.1
1989-04-01,108360.5
1989-07-01,109813.3
1989-10-01,110848.3
1990-01-01,111782.6
1990-04-01,113082.0
1990-07-01,113198.9
1990-10-01,112576.2
1991-01-01,111164.4
1991-04-01,111402.8
1991-07-01,112028.6
1991-10-01,111916.8
1992-01-01,111528.5
1992-04-01,112111.8
1992-07-01,111849.4
1992-10-01,110827.7
1993-01-01,109576.0
1993-04-01,111112.1
1993-07-01,112199.3
1993-10-01,112867.7
1994-01-01,111880.1
1994-04-01,111745.0
1994-07-01,113565.7
1994-10-01,114224.3
1995-01-01,111772.7
1995-04-01,112922.4
1995-07-01,114335.3
1995-10-01,114555.4
1996-01-01,113243.3
1996-04-01,113853.9
1996-07-01,114021.2
1996-10-01,114916.8
1997-01-01,113455.2
1997-04-01,116247.5
1997-07-01,117686.7
1997-10-01,119317.8
1998-01-01,118016.2
1998-04-01,120569.9
1998-07-01,121049.7
1998-10-01,121025.4
1999-01-01,119096.9
1999-04-01,121189.7
1999-07-01,122379.5
1999-10-01,126140.9
2000-01-01,125020.6
2000-04-01,126197.1
2000-07-01,127471.3
2000-10-01,129361.5
2001-01-01,127578.8
2001-04-01,128818.5
2001-07-01,128904.9
2001-10-01,129416.1
2002-01-01,127164.6
2002-04-01,129058.3
2002-07-01,129685.8
2002-10-01,129646.7
2003-01-01,126502.2
2003-04-01,127793.5
2003-07-01,129681.8
2003-10-01,131781.9
2004-01-01,130790.7
2004-04-01,132127.0
2004-07-01,133156.2
2004-10-01,134004.2
2005-01-01,133101.3
2005-04-01,136320.4
2005-07-01,137693.7
2005-10-01,139475.9
2006-01-01,139204.7
2006-04-01,141112.5
2006-07-01,142681.6
2006-10-01,145394.0
2007-01-01,144916.5
2007-04-01,147338.6
2007-07-01,148991.8
2007-10-01,150517.5
2008-01-01,149163.0
2008-04-01,152321.7
2008-07-01,152652.7
2008-10-01,150377.8
2009-01-01,145608.9
2009-04-01,146612.5
2009-07-01,149076.3
2009-10-01,149784.4
2010-01-01,148751.8
2010-04-01,151726.3
2010-07-01,153497.3
2010-10-01,154855.2
2011-01-01,152649.1
2011-04-01,154865.5
2011-07-01,155100.8
2011-10-01,156521.4
2012-01-01,154132.4
2012-04-01,155873.0
2012-07-01,157156.8
2012-10-01,158203.3
2013-01-01,155521.1
2013-04-01,159284.3
2013-07-01,160555.8
2013-10-01,161586.4
2014-01-01,159704.1
2014-04-01,162377.5
2014-07-01,164129.5
2014-10-01,166336.8
2015-01-01,162906.3
2015-04-01,164678.4
2015-07-01,166226.0
2015-10-01,167438.0
2016-01-01,164590.7
2016-04-01,168517.2
2016-07-01,169351.2
2016-10-01,170181.2
2017-01-01,167367.2
2017-04-01,171103.5
2017-07-01,172191.8
2017-10-01,174081.3
2018-01-01,173018.3
2018-04-01,177635.9
2018-07-01,176495.7
2018-10-01,176428.2
2019-01-01,174581.1
2019-04-01,177953.8
2019-07-01,178381.2
