Author,Matrix,Unit,Minimum,Maximum
Fossi et al. (2015),Fin Whales,number microplastics/meters cubed,0,9.67
Baalkhuyur et al. (2018),Red Sea Fishes,number microplastics/gastrointestinal tract,0,3
Rochman et al. (2015),Fish and Bivalves,number microplastics/gastrointestinal tract,0,21
Cauwenberghe and Janssen (2014),Bivalves,number microplastics/grams wet weight,0,0.63
Devriese et al. (2015),Brown Shrimp,number microplastics/grams wet weight,0,1.23
Kolandhasamy et al. (2017),Mussels,number microplastics/grams (by organ),1,10
De Witte et al. (2014),Blue Mussels,number microplastics/10 grams,2.6,5.1
Iñiguez et al. (2017),Spanish Table Salt,number microplastics/kg,43,283
Karami et al. (2017),Commercial Salts,number microplastics/kg,0,10
Liebezeit and Liebezeit (2013),Honey and Sugar,number microplastic fibers/500g,20,330
Liebezeit and Liebezeit (2014),German Beer,number microplastics/L,16,254
